"","ensgene","name","module","mm"
"9735","ENSG00000227376","FTH1P16","lightcyan",0.649145111822824
"9736","ENSG00000219529","AP000580.1","black",0.621521299040722
"9737","ENSG00000087884","AAMDC","darkorange2",0.617158345873352
"9738","ENSG00000254459","RP11-91P24.7","darkorange2",0.623955671130459
"9739","ENSG00000255449","RP11-91P24.6","darkorange2",0.613219066654298
"9740","ENSG00000149262","INTS4","red",0.666517754226806
"9741","ENSG00000254829","RP11-7I15.3","salmon",0.701054812893198
"9742","ENSG00000151364","KCTD14","salmon",0.514592103204004
"9743","ENSG00000151365","THRSP","turquoise",0.796807891209004
"9744","ENSG00000159063","ALG8","white",0.602768700518716
"9745","ENSG00000246174","RP11-705O3.1","brown",0.64773186440892
"9746","ENSG00000188997","KCTD21","darkmagenta",0.668336240823377
"9747","ENSG00000118369","USP35","mediumpurple3",0.661410350545689
"9748","ENSG00000033327","GAB2","blue",0.684833106033155
"9749","ENSG00000254420","RP11-452H21.1","sienna3",0.443479270841532
"9750","ENSG00000137513","NARS2","purple",0.629651314672504
"9751","ENSG00000227097","RP11-742N3.1","darkolivegreen",0.666256689198329
"9752","ENSG00000137509","PRCP","thistle2",0.661003943210004
"9753","ENSG00000137502","RAB30","lightgreen",0.604862373912653
"9754","ENSG00000165494","PCF11","red",0.575701203551688
"9755","ENSG00000254676","RP11-727A23.4","skyblue3",0.425210623047125
"9756","ENSG00000247137","RP11-727A23.5","plum2",0.546339563004746
"9757","ENSG00000137494","ANKRD42","orangered4",0.686180864336176
"9758","ENSG00000137500","CCDC90B","brown",0.636483730095253
"9759","ENSG00000150672","DLG2","magenta",0.718095265564721
"9760","ENSG00000256466","AP003026.1","magenta",0.706775675739217
"9761","ENSG00000171204","TMEM126B","orangered4",0.72369144893284
"9762","ENSG00000171202","TMEM126A","lightcyan",0.848961570526886
"9763","ENSG00000137504","CREBZF","greenyellow",0.806652787761098
"9764","ENSG00000137501","SYTL2","yellow",0.762938364679584
